# The values are separated by tab
# size1 = make all
# size2 = make combine
# rev	hash	size1	size2	date	description
270	9d0027f87915	5532	5438	2011-10-28 05:04 -0200	Reordenados itens no .bib; escritas as seções USB HID, I2C e ATmega8
271	d64f87075038	5532	5438	2011-10-28 06:44 -0200	Capítulo 2 concluído. Pode ainda sofrer revisões futuras.
272	b852871b4223	5532	5438	2011-10-28 09:39 -0200	Escrita a primeira parte da descrição do hardware.
273	48ebe64a0912	5532	5438	2011-10-29 00:30 -0200	Descrita a interface de hardware com a porta USB
274	f03e0f8340f8	5532	5438	2011-10-29 04:25 -0200	Adicionando anexos (usando o pacote "pdfpages")
275	b96d5cb329c0	5532	5438	2011-10-29 06:26 -0200	Filtrando alguns warnings, trocando o label de lugar, escrita mais uma sub-seção.
276	665f29feaab8	5532	5438	2011-10-29 06:59 -0200	Better pdflatex output filtering.
277	641a2564a872	5532	5438	2011-10-29 09:14 -0200	Bugfix in checksize script.
278	1e554afad9c1	5532	5438	2011-10-29 10:18 -0200	Início da descrição do software, descrição do bootloader.
279	0200759d9487	5532	5438	2011-10-29 13:05 -0200	Fixed non-ASCII characters in comments.
280	3ce300e7bef6	5532	5438	2011-10-29 13:29 -0200	Descrição do driver de comunicação I2C. Configurado o pacote listings
281	587164217c9c	5532	5438	2011-10-30 03:31 -0200	Endpoints, sensor, driver V-USB...
282	7c15b012ee59	5532	5438	2011-10-30 05:20 -0200	usbconfig
283	cf1bfcfc1e92	5510	5416	2011-10-30 05:51 -0200	Removing "protocol" support from the firmware.
284	8ac5bb349f29	5510	5416	2011-10-30 09:11 -0200	Mais texto na monografia. Acho que já passou da metade.
285	46f199423685	5510	5416	2011-10-30 13:52 -0200	Diagrama do circuito adicionado.
286	565bef8272a7	5510	5416	2011-10-31 03:11 -0200	I2C Level-Shifting
287	98aa53593527	5510	5416	2011-10-31 05:10 -0200	Adicionadas algumas citações no início dos capítulos
288	e3922cdee685	5662	5568	2011-10-31 05:20 -0200	Implemented a simple mouse-smoothing algorithm.
289	212427c3d121	5662	5568	2011-10-31 05:38 -0200	Added ENABLE_FULL_MENU option, to allow further reduction of firmware size.
290	c756026cff08	5662	5568	2011-10-31 06:07 -0200	Added documentation about all ENABLE_* compile-time options.
291	477f62609136	5662	5568	2011-10-31 06:26 -0200	Filtering yet another line from LaTeX output.
292	1b8e93536b95	5662	5568	2011-10-31 08:53 -0200	Initial version of matplotlib_3d_plot.py
293	1d795b3971b4	5662	5568	2011-10-31 10:05 -0200	Improved matplotlib_3d_plot.py
294	b4b6f7197a63	5662	5568	2011-10-31 11:34 -0200	Várias coisas na monografia.
295	bae5b074cca6	5662	5568	2011-10-31 12:01 -0200	Adding a comment about mouse-smoothing values
296	d6f21b70a035	5662	5568	2011-10-31 12:46 -0200	Reducing the graph margins.
297	ba6129281fba	5662	5568	2011-10-31 18:28 -0200	Added another projection algorithm: using the distance between the vectors.
298	0d6d6a7f05d2	5662	5568	2011-10-31 18:28 -0200	Mais textos e figuras para a monografia.
299	9f1c2ff591e4	5662	5568	2011-10-31 20:54 -0200	Added "exact" algorithm. Still buggy.
300	a9b66f3010ad	5662	5568	2011-10-31 21:21 -0200	Fixing a6/a12 "exact" algorithm.
301	3204d582f93b	5662	5568	2011-11-01 06:45 -0200	Even better filter_pdflatex_output.sed
302	6ab7f58c1d88	5662	5568	2011-11-01 06:47 -0200	Using upper-case X,Y for vectors.
303	8ee09ebf9d3c	5662	5568	2011-11-01 06:47 -0200	Quase concluindo a seção de transformação de coordenadas.
304	ba57b6186710	5662	5568	2011-11-01 12:11 -0200	Seção Transf. de coords. concluída!
305	1c7fa70bac51	5662	5568	2011-11-01 12:43 -0200	Colocada uma "quote", e adicionada explicação sobre como achar o ângulo.
306	5ebd6d4e5f79	5662	5568	2011-11-01 12:59 -0200	Adicionados alguns códigos-fonte como apêndices.
307	8214a03b2b8e	5662	5568	2011-11-01 17:17 -0200	Adicionadas imagens de calibração do zero.
308	871233300c6d	5662	5568	2011-11-02 07:15 -0200	Mais seções escritas. Falta pouco!
309	a13540b0c33f	5644	5540	2011-11-02 07:21 -0200	Implemented "Toggle mouse smoothing" in the menu.
310	b8e51f2558bc	5644	5540	2011-11-02 08:27 -0200	Updated the size table comment at the Makefile.
311	8da0b943f505	5644	5540	2011-11-02 10:01 -0200	Atualizadas algumas imagens, entre outras coisas.
312	6c8a3255720e	8180	8172	2011-11-02 10:18 -0200	Disabling the bootloader, and enabling mouse+keyboard at the Makefile.
313	5f34f4ceb060	8180	8172	2011-11-02 14:44 -0200	Introdução feita.
314	b27945ec4c22	8180	8172	2011-11-02 15:29 -0200	Descrevendo melhor o cálculo exato de alpha
315	6e48e38f9695	8180	8172	2011-11-02 18:26 -0200	Terminou...?
316	5382000506aa	8180	8172	2011-11-02 18:57 -0200	Adicionada ref. para Gauss-Jordan
317	c78c86434b79	8186	8178	2011-11-03 12:26 -0200	Improving the usage when near the edge of the screen.
318	06ce5f7f7b7d	0	8188	2011-11-03 12:53 -0200	Removing "Toggle mouse smoothing" option.
319	94de6ace1eff	0	8188	2011-11-03 14:03 -0200	Slightly changing the mouse smoothing constants.
320	91bfc2d34c20	0	8188	2011-11-03 14:04 -0200	Mudando o título da monografia de "Mouse" para "Dispositivo apontador"
321	cd521ab4aff3	0	8188	2011-11-09 05:56 -0200	Primeira rodada de revisões.
322	af93cac14466	0	8188	2011-11-09 07:12 -0200	Agradecimentos
323	48820a7687ba	0	8188	2011-11-09 17:27 -0200	Algumas revisões, adicionado o princípio de "Visão geral do software"
324	fb3be4a34501	0	8188	2011-11-09 18:10 -0200	Movendo "Transf. de coords" para um capítulo separado.
325	685939b3d993	0	8188	2011-11-09 18:36 -0200	Capítulo de Transf. de Coords.
326	0874e00d48f7	0	8188	2011-11-09 18:40 -0200	Vim "gq" nos parágrafos
327	d2035c7a3b51	0	8188	2011-11-09 18:54 -0200	Escrevi os números por extenso.
328	7440cfc3e58c	0	8188	2011-11-09 19:12 -0200	"Visão geral do software"
329	45b4fd022e99	0	8188	2011-11-09 19:37 -0200	Adicionei todos os arquivos-fonte como apêndices.
330	24ffdb624c5d	0	8188	2011-11-10 08:42 -0200	Adicionado Makefile como apêndice.
331	bad97d6a8c42	0	8188	2011-11-10 10:01 -0200	Adicionada "régua" nas fotos dos sensores (usando o Inkscape)
332	f95bdf58426e	0	8188	2011-11-12 19:05 -0200	Updated the default calibration vectors to "better" values.
333	9d15fa831c43	0	8188	2011-11-12 20:09 -0200	Revisão do primeiro parágrafo.
334	d052b7a48c5c	8152	8060	2011-11-12 20:09 -0200	Some compiler options to save a few more bytes.
335	ab86791e8964	8122	7996	2011-11-12 21:51 -0200	Applying "exponential smoothing" twice, in order to reduce the noise.
336	738cde456542	8130	8004	2011-11-12 22:30 -0200	Added a submenu indicator " >>"
337	d4932e42f33d	8162	8040	2011-11-12 23:10 -0200	Mouse movement is now frozen for 44ms after a button event.
338	f13a4122cbda	8162	8040	2011-11-13 08:38 -0200	Fixing draw_points.py to ignore "NaN".
339	01e12a37e40a	8162	8040	2011-11-13 08:54 -0200	Copiando o código-fonte para a monografia.
340	db5779972975	8162	8040	2011-11-13 09:08 -0200	Desfazendo a suavização dupla e aplicando uma suavização simples.
341	0f20fd44d8e0	8162	8040	2011-11-13 09:16 -0200	Adicionadas imagens da seção de "resultados".
342	527e9e97c4e2	8162	8040	2011-11-13 09:44 -0200	Monografia agora usa versões "congeladas" do código-fonte e das imagens de resultados.
343	ca6b1d413b2e	8162	8040	2011-11-13 10:38 -0200	Small changes in order to save a few pages while printing.
344	240b658cd0f2	8162	8040	2011-11-13 10:45 -0200	Added tag youtube_nZLTwfAJmrE for changeset 3cbdde568c1d
345	7d81f301701b	8162	8040	2011-11-13 10:49 -0200	Added tag monografia_para_banca for changeset bad97d6a8c42
346	7999e866878e	8168	8044	2011-11-13 13:39 -0200	Bugfix about timer0.
347	d78dbdc22183	8168	8044	2011-11-13 16:38 -0200	Deleting a few lines in main.c in order to save one printed page.
348	547815038f75	8168	8044	2011-11-13 16:40 -0200	Fine-tuning the freeze-movement-after-click value.
349	0acd22a1f77c	8168	8044	2011-11-13 18:08 -0200	Added tag youtube_lBZV_GAg8yw for changeset 547815038f75
350	acdb0df6bc85	8168	8044	2011-11-14 14:33 -0200	Added tag youtube_1nuw9zsZtk4 for changeset 547815038f75
351	a3456de5856e	8168	8044	2011-11-14 22:25 -0200	Freezing the pointer position only on key presses, but not on releases.
352	5334252b0c55	8168	8044	2011-11-15 01:39 -0200	Updated the README
353	76d8d24de6b2	8168	8044	2011-11-15 01:48 -0200	Fixed links in README.
354	1a4ca8dfcd14	8168	8044	2011-11-15 03:07 -0200	Added "Possible improvements" to the README
355	82c2e17f22b2	8168	8044	2011-11-15 10:58 -0200	Added a note about the (inappropriate) VID/PID usage.
